datetime,latitude,longitude
250102.2026,19.259,-99.437
250102.2026,19.345,-99.48
250102.2026,19.408,-99.595
250102.2026,19.444,-99.501
250102.2026,19.661,-99.72
250102.2026,19.662,-99.718
250102.2026,19.667,-99.827
250102.2026,19.712,-98.849
250102.2026,19.804,-101.577
250102.2026,19.809,-101.578
250102.2026,19.955,-100.017
250102.2026,19.955,-100.014
250102.2026,19.957,-100.019
250102.2026,19.958,-100.016
250102.2026,19.96,-100.018
250102.2026,20.003,-100.076
250102.2026,20.203,-99.207
250102.2026,20.206,-101.736
250102.2026,20.32,-101.517
250102.2026,20.33,-101.493
250102.2026,20.332,-101.492
250102.2026,20.42,-101.578
250102.2026,20.423,-101.581
250102.2026,20.47,-101.405
250102.2026,20.517,-103.314
250102.2026,20.518,-103.31
250102.2026,20.575,-100.589
250102.2026,20.577,-101.173
250102.2026,20.577,-101.171
250102.2026,20.663,-101.279
250102.2026,20.776,-101.368
250102.2026,21.038,-102.43
250102.2026,21.743,-100.998
250102.2028,22.623,-100.889
250102.2028,22.63,-99.366
250102.2028,24.481,-106.919
250102.2028,25.578,-99.935
250102.2028,25.603,-100.921
250102.2028,25.603,-100.917
250102.2028,25.752,-107.326
250102.2028,25.774,-106.638
250102.2028,26.254,-98.624
250102.2028,27.071,-107.411
250102.2031,27.666,-107.475
250102.2031,27.729,-107.852
250102.2031,28.225,-106.936
250102.2031,28.947,-111.165
250102.2031,29.987,-107.273
250102.2031,30.178,-107.354
250102.2031,30.181,-107.354
250102.2031,30.182,-107.349
250102.2031,30.185,-107.36
250102.2031,30.185,-107.355
250102.2031,30.407,-108.932
250102.2031,30.495,-109.631
250102.2031,30.61,-107.347
250102.2031,30.655,-112.287
250102.2031,30.807,-104.785
250102.2031,30.809,-104.787
250102.2031,30.811,-104.786
250102.2031,30.813,-104.787
250102.2031,30.814,-107.223
250102.2031,30.818,-107.223
250102.2031,30.947,-108.638
250102.2031,30.951,-108.639
250102.2031,31.487,-102.156
250102.2031,32.209,-97.889
250102.2031,32.209,-97.882
250102.2031,32.327,-101.813
250102.2031,32.336,-114.943
250102.2031,32.505,-116.749
250102.2031,32.606,-114.898
250102.2031,32.625,-114.639
250102.2031,32.639,-114.535
250102.2031,33.078,-101.094
250102.2031,33.553,-96.674
250102.2031,33.555,-96.677
250102.2031,34.283,-101.986
250102.2031,34.356,-111.052
250102.2031,34.356,-111.048
250102.2031,34.357,-111.043
250102.2031,34.361,-111.04
250102.2031,34.476,-99.846
250102.2032,34.292,-118.801
250102.2032,34.591,-113.796
250102.2032,35.887,-120.465
250102.2032,38.647,-120.551
250102.2351,19.389,-155.297
250102.2351,19.394,-155.293
250102.2351,19.394,-155.288
250102.2351,19.398,-155.289
250102.2351,19.399,-155.284
250102.2351,19.402,-155.289
250102.2351,19.403,-155.284
250102.2351,19.403,-155.279
250102.2351,19.405,-155.293
250102.2351,19.406,-155.29
250102.2351,19.406,-155.287
250102.2351,19.406,-155.285
250102.2351,19.406,-155.282
250102.2351,19.407,-155.28
250102.2351,19.407,-155.278
250102.2351,19.408,-155.298
250102.2351,19.408,-155.275
250102.2351,19.409,-155.296
250102.2351,19.409,-155.293
250102.2351,19.409,-155.29
250102.2351,19.41,-155.288
250102.2351,19.41,-155.285
250102.2351,19.41,-155.283
250102.2351,19.411,-155.28
250102.2351,19.411,-155.278
250102.2351,19.411,-155.275
250102.2351,19.411,-155.273
250102.2351,19.413,-155.291
250102.2351,19.413,-155.289
250102.2351,19.414,-155.286
250102.2351,19.414,-155.284
250102.2351,19.415,-155.281
250102.2351,19.415,-155.279
250102.2351,19.415,-155.276
250103.0535,18.456,-66.151
250103.0535,19.597,-71.012
250103.0709,40.636,-74.222
250103.0709,41.8,-71.531
250103.0709,43.081,-77.381
250103.0709,43.687,-71.541
250103.0709,46.514,-84.394
250103.0709,46.521,-84.377
250103.0710,35.371,-79.028
250103.0710,35.502,-80.33
250103.0710,36.356,-76.808
250103.0710,36.607,-81.361
250103.0710,36.688,-81.893
250103.0710,37.016,-91.553
250103.0710,37.19,-93.531
250103.0710,37.273,-79.998
250103.0710,37.413,-91.059
250103.0710,37.538,-76.806
250103.0710,37.749,-77.142
250103.0710,37.75,-77.147
250103.0710,37.847,-76.53
250103.0710,39.938,-76.816
250103.0710,39.939,-76.814
250103.0710,40.026,-74.252
250103.0710,40.136,-74.808
250103.0710,40.151,-74.769
250103.0710,41.613,-87.33
250103.0710,41.615,-87.329
250103.0710,41.617,-87.329
250103.0710,41.619,-87.328
250103.0710,41.624,-87.334
250103.0710,41.632,-87.143
250103.0710,41.636,-87.142
250103.0710,41.636,-87.136
250103.0710,41.639,-87.41
250103.0710,41.64,-87.136
250103.0710,41.64,-87.13
250103.0710,41.641,-87.142
250103.0710,41.67,-87.455
250103.0710,41.673,-87.436
250103.0710,41.681,-87.423
250103.0710,41.681,-87.417
250103.0713,27.965,-82.085
250103.0713,28.077,-81.995
250103.0713,28.367,-82.166
250103.0713,28.676,-82.029
250103.0713,28.676,-82.025
250103.0713,28.68,-82.032
250103.0713,28.68,-82.028
250103.0713,28.904,-81.688
250103.0713,29.913,-82.367
250103.0713,30.281,-81.98
250103.0713,30.392,-81.558
250103.0713,30.887,-89.958
250103.0713,30.94,-88.016
250103.0713,30.973,-85.012
250103.0713,31.139,-84.291
250103.0713,31.14,-84.296
250103.0713,31.148,-87.988
250103.0713,31.152,-87.987
250103.0713,31.632,-92.161
250103.0713,31.657,-81.839
250103.0713,31.681,-89.175
250103.0713,31.681,-89.169
250103.0713,31.777,-82.717
250103.0713,31.778,-82.721
250103.0713,31.78,-82.712
250103.0713,31.829,-85.466
250103.0713,31.924,-81.951
250103.0713,32.028,-88.741
250103.0713,32.036,-88.735
250103.0713,32.041,-86.087
250103.0713,32.042,-86.093
250103.0713,32.043,-86.09
250103.0713,32.124,-81.927
250103.0713,32.128,-81.926
250103.0713,32.24,-82.836
250103.0713,32.313,-82.404
250103.0713,32.407,-91.751
250103.0713,32.484,-92.151
250103.0713,32.509,-82.961
250103.0713,32.546,-86.74
250103.0713,32.653,-89.228
250103.0713,32.663,-82.424
250103.0713,32.71,-88.312
250103.0713,32.889,-82.371
250103.0713,33.004,-79.878
250103.0713,33.092,-82.613
250103.0713,33.095,-82.612
250103.0713,33.46,-81.086
250103.0713,33.508,-89.13
250103.0713,33.577,-81.218
250103.0713,33.579,-81.213
250103.0713,33.963,-81.051
250103.0713,33.985,-81.86
250103.0713,34.128,-97.025
250103.0713,34.13,-97.027
250103.0713,34.222,-82.202
250103.0713,34.229,-95.244
250103.0713,34.303,-84.417
250103.0713,34.375,-79.89
250103.0713,35.341,-80.827
250103.0713,36.216,-92.408
250103.0713,36.218,-92.408
250103.0716,22.256,-97.81
250103.0716,22.257,-97.816
250103.0716,22.26,-97.81
250103.0716,22.261,-97.816
250103.0716,22.263,-97.809
250103.0716,22.267,-97.809
250103.0716,23.086,-81.272
250103.0716,28.522,-88.29
250103.0717,17.79,-95.347
250103.0717,17.868,-93.499
250103.0717,17.879,-92.489
250103.0717,17.888,-93.195
250103.0717,17.891,-93.184
250103.0717,17.892,-93.189
250103.0717,17.893,-93.195
250103.0717,17.893,-92.493
250103.0717,17.893,-92.488
250103.0717,17.895,-93.178
250103.0717,17.896,-93.183
250103.0717,17.897,-92.487
250103.0717,17.898,-92.492
250103.0717,17.9,-93.177
250103.0717,17.901,-93.183
250103.0717,17.902,-93.193
250103.0717,17.902,-93.188
250103.0717,17.911,-93.523
250103.0717,17.922,-93.761
250103.0717,17.928,-93.633
250103.0717,17.941,-93.282
250103.0717,17.942,-93.284
250103.0717,17.945,-93.649
250103.0717,17.952,-93.618
250103.0717,17.966,-93.652
250103.0717,17.967,-93.651
250103.0717,17.973,-94.521
250103.0717,17.973,-94.52
250103.0717,17.974,-94.53
250103.0717,17.974,-94.528
250103.0717,17.974,-94.527
250103.0717,17.974,-94.524
250103.0717,17.974,-94.523
250103.0717,17.975,-94.531
250103.0717,17.979,-94.527
250103.0717,17.979,-94.524
250103.0717,17.98,-94.534
250103.0717,17.98,-94.53
250103.0717,17.985,-94.533
250103.0717,17.985,-94.53
250103.0717,17.985,-94.526
250103.0717,18.032,-93.926
250103.0717,18.032,-93.923
250103.0717,18.066,-93.311
250103.0717,18.091,-94.042
250103.0717,18.092,-94.051
250103.0717,18.092,-94.048
250103.0717,18.092,-94.045
250103.0717,18.204,-94.006
250103.0717,18.409,-96.213
250103.0717,18.508,-96.144
250103.0717,18.509,-96.149
250103.0717,18.967,-97.965
250103.0717,19.177,-96.238
250103.0717,19.345,-96.705
250103.0717,19.523,-92.188
250103.0717,19.524,-92.193
250103.0717,19.524,-92.191
250103.0717,19.566,-92.236
250103.0717,19.746,-98.601
250103.0717,20.028,-99.274
250103.0717,20.516,-97.478
250103.0717,20.945,-89.665
250103.0717,20.945,-89.662
250103.0848,45.072,-83.4
250103.0848,46.578,-80.793
250103.0851,41.591,-108.506
250103.0851,41.591,-108.505
250103.0851,41.618,-87.33
250103.0851,41.642,-87.408
250103.0851,41.67,-87.421
250103.0851,41.674,-87.434
250103.0854,33.525,-101.739
250103.0854,34.126,-97.027
250103.0854,34.131,-97.025
250103.0854,34.232,-95.246
250103.0854,34.353,-111.057
250103.0854,34.357,-111.051
250103.0854,34.36,-111.05
250103.0854,34.36,-111.044
250103.0854,35.697,-101.362
250103.0854,35.795,-91.743
250103.0854,36.165,-95.958
250103.0854,36.168,-95.955
250103.0854,36.195,-95.81
250103.0854,36.519,-97.839
250103.0854,38.24,-104.609
250103.0855,25.22,-99.672
